id_source,url_source,type,surface,prix,quartier,ville,description,photos_count,nb_pieces,dpe
ag440554-39965097,https://www.bienici.com/annonce/ag440554-39965097,office,1067,0,Marseille 5e Arrondissement,Marseille,"mandat 81845hjc. vente de murs commerciaux.
en zfu 13014 marseille.sur une voie à double sens de très forte circulation,. immeuble r+1 en bord de voie avec parking de 1067 m² r de c commercial étage b",1,,
ag740039-45098807,https://www.bienici.com/annonce/ag740039-45098807,shop,1000,0,Chambéry,Chambéry,"Faire vite pour cet hôtel 2* à l'emplacement stratégique, au coeur de la zone d'activité de Chambéry. A 10 min du centre historique, 5 de l'aéroport, et le plus : en sortie d'autoroute (passage obliga",1,,
ag740039-45824689,https://www.bienici.com/annonce/ag740039-45824689,shop,1000,0,Chambéry,Chambéry,"Faire vite pour cet hôtel 2* à l'emplacement stratégique, au coeur de la zone d'activité de Chambéry. A 10 min du centre historique, 5 de l'aéroport, et le plus : en sortie d'autoroute (passage obliga",1,,
ag170012-11049010,https://www.bienici.com/annonce/ag170012-11049010,shop,999,0,Macqueville,Macqueville,"FDC Bar Brasserie, très bel emplacement d'angle centre ville. 80 places assises + 40 en terrasse. Rentabilité 77 000 €. Fermé les dimanche + 3 semaines, loyer mensuel  850 € avec logement T5.",1,,
ag170012-14987246,https://www.bienici.com/annonce/ag170012-14987246,shop,999,0,La Rochelle - Mireuil - Saint-Maurice,La Rochelle,Vends Affaire du midi restaurant bien placé sur axe passant à 5 minutes de LA ROCHELLE. Idéal si vous recherchez une structure à taille humaine ! Parfait pour un couple et 3 salariés. 160 places avec ,1,,
ag170012-15901483,https://www.bienici.com/annonce/ag170012-15901483,shop,999,0,Saint-Martial,Saint-Martial,Fonds de commerce restaurant  dans zone commercial. Agréable  pour travailler à l'année. 128 places dont 70 en terrasse. Affaire aux normes. CA 293 000 € HT. Loyer 2250 €. Parfait pour un couple avec ,1,,
ag170012-21102116,https://www.bienici.com/annonce/ag170012-21102116,shop,999,0,La Rochelle - Petit Marseille - Villeneuve-les-Salines,La Rochelle,"Proche LA ROCHELLE RESTAURANT BORD DE MER avec CA PIZZA. Affaire aux normes et à l'année ""Les pieds dans l'eau"" proche de LA ROCHELLE.  Très belle rentabilité. CA HT 1 200 000 €. 2  jours de fermeture",1,,
ag170012-6654142,https://www.bienici.com/annonce/ag170012-6654142,shop,999,0,Floirac,Floirac,A vendre fonds de commerce de tabac cadeaux  Ile Charentaise. Logement à rénover F4. Fermé dim. ap-midi et lundi tte la journée. Commissions 135 000 € + CA Taxable. Possibilité acquisition Murs 250 00,1,,
ag740039-47996091,https://www.bienici.com/annonce/ag740039-47996091,shop,849,0,Castres,Castres,"Cet ancien Hôtel Particulier du XVIIe siècle, transformé en Hôtel, se situe au cœur du quartier historique d'une jolie ville du TARN. C'est une belle demeure de charme à colombages qui a conservé tout",8,,
ag740039-48667541,https://www.bienici.com/annonce/ag740039-48667541,shop,849,0,Castres,Castres,"Cet ancien Hôtel Particulier du XVIIe siècle, transformé en Hôtel, se situe au cœur du quartier historique d'une jolie ville du TARN. C'est une belle demeure de charme à colombages qui a conservé tout",8,,
ag740039-49368025,https://www.bienici.com/annonce/ag740039-49368025,shop,849,0,Castres,Castres,"Cet ancien Hôtel Particulier du XVIIe siècle, transformé en Hôtel, se situe au cœur du quartier historique d'une jolie ville du TARN. C'est une belle demeure de charme à colombages qui a conservé tout",8,,
ag740039-50118957,https://www.bienici.com/annonce/ag740039-50118957,shop,849,0,Castres,Castres,"Cet ancien Hôtel Particulier du XVIIe siècle, transformé en Hôtel, se situe au cœur du quartier historique d'une jolie ville du TARN. C'est une belle demeure de charme à colombages qui a conservé tout",8,,
ag740039-51007101,https://www.bienici.com/annonce/ag740039-51007101,shop,849,0,Castres,Castres,"Cet ancien Hôtel Particulier du XVIIe siècle, transformé en Hôtel, se situe au cœur du quartier historique d'une jolie ville du TARN. C'est une belle demeure de charme à colombages qui a conservé tout",8,,
ag740039-51892839,https://www.bienici.com/annonce/ag740039-51892839,shop,849,0,Castres,Castres,"Cet ancien Hôtel Particulier du XVIIe siècle, transformé en Hôtel, se situe au cœur du quartier historique d'une jolie ville du TARN. C'est une belle demeure de charme à colombages qui a conservé tout",8,,
ag740039-44646195,https://www.bienici.com/annonce/ag740039-44646195,shop,836,0,Béthune,Béthune,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
ag740039-45380899,https://www.bienici.com/annonce/ag740039-45380899,shop,836,0,Béthune,Béthune,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
ag740039-46129167,https://www.bienici.com/annonce/ag740039-46129167,shop,836,0,Béthune,Béthune,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
ag740039-46850921,https://www.bienici.com/annonce/ag740039-46850921,shop,836,0,Béthune,Béthune,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
ag740039-47577691,https://www.bienici.com/annonce/ag740039-47577691,shop,836,0,Béthune,Béthune,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
ag740039-48176479,https://www.bienici.com/annonce/ag740039-48176479,shop,836,0,Bruay-la-Buissière,Bruay-la-Buissière,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
ag740039-48804013,https://www.bienici.com/annonce/ag740039-48804013,shop,836,0,Bruay-la-Buissière,Bruay-la-Buissière,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
ag740039-49490693,https://www.bienici.com/annonce/ag740039-49490693,shop,836,0,Bruay-la-Buissière,Bruay-la-Buissière,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
ag740039-50237723,https://www.bienici.com/annonce/ag740039-50237723,shop,836,0,Bruay-la-Buissière,Bruay-la-Buissière,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
ag740039-51195731,https://www.bienici.com/annonce/ag740039-51195731,shop,836,0,Bruay-la-Buissière,Bruay-la-Buissière,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
ag740039-52118045,https://www.bienici.com/annonce/ag740039-52118045,shop,836,0,Bruay-la-Buissière,Bruay-la-Buissière,Grande surface commercial ' secteur ' béthune libre de tout occupation ; magasin avec réserve sur 1300M² environs ; bureaux  ; local pour les employés avec vestiaire ; sanitaires ; la surface de vente,9,,
